MTU (UTC),Hour,POWER,Expected,q0,q5,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,ZONEID,tclw,tciw,SP,r,TCC,10u,10V,2T,SSRD,STRD,TSR,TP,POWER,Day-ahead Price [EUR/MWh],+ Imbalance Price [EUR/MWh] - MBA|ES,- Imbalance Price [EUR/MWh] - MBA|ES,Total Imbalance [MWh] - MBA|ES,Direction,Penalty,Pen_up,Pen_down,Day-ahead Price [EUR/MWh]_Forecast,Pen_up_Forecast,Pen_down_Forecast,Direction_Forecast,tau
5/30/2018 20:00,20,0,0.000161058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015167236,0.010622025,95305.5,79.30395508,0.999998391,1.028407097,-2.184742928,284.3444824,6971409,11673898,8908239,0,0,66.1,66.1,68.77,509,0,2.67,2.67,0,66.19589996,0.635050476,2.094238758,0.757694364,0.513287051
5/30/2018 21:00,21,0,0.00015641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010253906,0.015648033,95265.1875,79.37393188,1,1.066116333,-2.192204475,283.7670898,6971025,12792701,8908239,0,0,65.15,65.15,68.51,328,0,3.36,3.36,0,64.75883484,2.716390371,1.918934107,0.217173517,0.718023865
5/30/2018 22:00,22,0,0.00015641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004737854,0.026680805,95268.5625,80.66690063,0.999996126,1.168928146,-2.15409565,283.5036621,6971025,13916360,8908239,0,0,63.77,47.57,63.77,-10,1,16.2,0,16.2,63.72226715,3.292342901,1.692569375,0.181513429,0.698628547
5/30/2018 23:00,23,0,0.00015641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003555298,0.032441229,95242.875,81.38656616,0.999999046,1.206198692,-2.1668787,283.6154785,6971025,15068872,8908239,0,0,54.95,43.03,54.95,-161,1,11.92,0,11.92,62.01931763,0.543292701,9.864207268,0.663768589,0.901932698
5/31/2018 0:00,0,0,0.00015641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010848999,0.02391405,95170.875,81.81051636,0.999994099,1.188803673,-2.234786034,283.605957,6971025,16219340,8908239,0,0,55.85,42.66,55.85,-361,1,13.19,0,13.19,50.59681702,0.422365397,8.824850082,0.725916207,0.887500007
5/31/2018 1:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016113281,0.020549085,95093.75,82.355896,1.000000954,1.286563873,-2.292086601,283.4951172,6971025,17347072,8908239,0,0,55.43,47.09,55.43,-476,1,8.34,0,8.34,57.0833168,0.511585176,9.558799744,0.738960087,0.868428264
5/31/2018 2:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015213013,0.008545108,95049.25,82.71412659,1.000003815,1.160301208,-2.3630476,283.5317383,6971025,18492000,8908239,0,0,55.43,48.92,55.43,-102,1,6.51,0,6.51,55.11104965,0.529828906,7.147253513,0.752763748,0.815856365
5/31/2018 3:00,3,0,1.12E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.035446167,0.009645294,94991.125,84.22926331,1,1.275666237,-2.335704803,283.2607422,6971025,19604176,8908239,0,0,57.8,50.19,57.8,-74,1,7.61,0,7.61,56.57916641,0.561559021,6.391068935,0.775372326,0.767284476
5/31/2018 4:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.049194336,0.014142301,94935.6875,85.36476135,1.000005722,1.383579254,-2.425024033,283.401123,6971025,20753968,8908239,0,0,63.24,49.64,63.24,-184,1,13.6,0,13.6,60.16462326,0.597934186,7.159340382,0.798734426,0.751062915
5/31/2018 5:00,5,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27E-05,6.41E-05,0.000152137,1,0.053955078,0.015681978,94897,87.40640259,0.999998748,1.233422279,-2.427205086,283.0383301,6971025,21856640,8908239,0.000114918,0,63.82,44.74,63.82,-100,1,19.08,0,19.08,66.23825836,0.531268954,10.67155647,0.816828132,0.818328686
5/31/2018 6:00,6,0,0.002106747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62E-05,0.003277992,0.008980128,0.01615,1,0.057434082,0.022089534,94850.5625,87.45837402,1.000000954,1.204751015,-2.535583496,283.5117188,6971025,23059536,8908239,0.000141621,0,64.97,64.97,68.56,395,0,3.59,3.59,0,64.72512817,0.573430359,13.85409069,0.770319343,0.878102635
5/31/2018 7:00,7,6.41E-05,0.008011362,0,3.21E-05,6.41E-05,9.62E-05,0.000158012,0.000160257,0.000207051,0.000231197,0.000311752,0.000416667,0.001057692,0.001570513,0.002596154,0.003297864,0.004503312,0.005392308,0.007232372,0.010073077,0.017427778,0.05588718,1,0.06942749,0.03474021,94834,87.07466125,1,1.295331955,-2.789656639,283.6291504,6971025,24251712,8908239,0.000181675,6.41E-05,64.63,64.63,70.77,990,0,6.14,6.14,0,66.02967072,3.449146032,3.461875439,0.222921312,0.777716172
5/31/2018 8:00,8,0.003525641,0.051519471,0.001762821,0.005753846,0.009994231,0.012823077,0.014121154,0.015128846,0.016636859,0.018173077,0.020984081,0.022685043,0.029502778,0.040748034,0.047182212,0.053826923,0.066100801,0.080379487,0.092818162,0.104551282,0.130160256,0.152542735,1,0.092254639,0.042313278,94807.1875,86.30444336,1,1.762665749,-3.610023499,284.2043457,7040561,25441904,9046943,0.000260353,0.003525641,63.99,63.99,70.37,614,0,6.38,6.38,0,64.69290924,5.698080063,2.777656078,0.187137604,0.67922136
5/31/2018 9:00,9,0.02275641,0.110233595,0.021666667,0.032114316,0.041043055,0.050684615,0.061038846,0.064583333,0.069679488,0.074374359,0.082820513,0.087644872,0.092968269,0.105487179,0.113525641,0.122777778,0.126688034,0.137467949,0.158085897,0.166794872,0.204607479,0.288846154,1,0.124084473,0.058964115,94766.875,85.52381897,1,2.45297718,-4.326857567,285.0241699,7270772,26694736,9505722,0.000519753,0.02275641,64.01,64.01,68.75,569,0,4.74,4.74,0,63.91275024,5.394009113,2.450729132,0.172262162,0.685847258
5/31/2018 10:00,10,0.035192308,0.120699065,0.029871795,0.032596154,0.039743589,0.050531197,0.055227778,0.058589744,0.062839957,0.071552564,0.076849359,0.081602564,0.092258654,0.101046154,0.114348718,0.127669872,0.135691346,0.154111966,0.178799252,0.210185898,0.233059295,0.36862735,1,0.139619291,0.097808123,94723.375,88.45820618,1,3.228388786,-4.741779327,285.2473145,7574147,27943728,10168830,0.000873566,0.035192308,64.6,64.6,71.57,908,0,6.97,6.97,0,64.04973602,4.158435345,2.343493938,0.158643663,0.749295555
5/31/2018 11:00,11,0.043141026,0.112241351,0.039725107,0.047326496,0.051830769,0.054326923,0.055352564,0.06,0.063391987,0.069907692,0.072692308,0.073015385,0.074591026,0.077243589,0.087542094,0.094499359,0.101046154,0.109029487,0.118399679,0.147765385,0.168213461,0.415417948,1,0.406385422,0.0644539,94630.0625,92.79101562,1,4.068060875,-4.294495583,285.3916016,207502.1875,1288329,703367.875,0.00079155,0.043141026,64.67,64.67,71.57,1319,0,6.9,6.9,0,64.72205353,5.627885342,2.106647968,0.166590184,0.651889013
5/31/2018 12:00,12,0.053333333,0.081929749,0.039775641,0.046257051,0.051830769,0.058548718,0.06173077,0.063461538,0.067567949,0.069572649,0.070530299,0.072692308,0.072692308,0.073397436,0.074423077,0.077243589,0.077243589,0.082180769,0.092248077,0.104444444,0.119038462,0.147798718,1,0.110568821,0.081944644,94488.125,94.18466187,1,3.879769325,-4.645187378,285.1940918,429555.875,2594279,1473129,0.001783371,0.053333333,63.82,63.82,67.84,1072,0,4.02,4.02,0,64.41871643,5.530956268,2.12082386,0.197107196,0.60966812
5/31/2018 13:00,13,0.056858974,0.087998493,0.039775641,0.051483333,0.056225961,0.064423077,0.064519231,0.067907692,0.069559401,0.071494872,0.07279829,0.073397436,0.074423077,0.077243589,0.077335256,0.083173077,0.083817307,0.089257265,0.097595513,0.103125043,0.142339744,0.148980769,1,0.106259048,0.20769012,94352.375,94.62905884,1,4.007873535,-4.916083336,285.3393555,805869.3125,3907966,2411986,0.003319979,0.056858974,63.47,63.47,66.78,1022,0,3.31,3.31,0,63.09591675,3.479821682,2.121286869,0.248013943,0.648915297
5/31/2018 14:00,14,0.037820513,0.071299567,0.029583334,0.044132692,0.049969444,0.051666667,0.052435897,0.05428141,0.06,0.06508547,0.065583119,0.066891026,0.068141026,0.071794872,0.073931624,0.07513141,0.077478632,0.078814103,0.078814103,0.090664957,0.093974679,0.14206282,1,0.54640758,0.115363002,94285.5625,94.79472351,1,3.818154335,-5.183308601,285.4289551,1158215,5226010,3275471,0.005318165,0.037820513,63.29,63.29,65.83,781,0,2.54,2.54,0,62.98786926,3.03442812,2.107288122,0.241907477,0.685168885
5/31/2018 15:00,15,0.030576923,0.063589263,0.029291026,0.031282052,0.031282052,0.038287179,0.043803419,0.046858975,0.054177724,0.05673077,0.057270513,0.06275641,0.064615385,0.064615385,0.066304914,0.072307692,0.074240385,0.077243589,0.078814103,0.078814103,0.088469231,0.108808547,1,0.750296712,0.152870178,94210.3125,96.36468506,1,3.408212662,-4.454528809,285.2568359,1285838,6542359,3804174,0.007898331,0.030576923,63.01,63.01,66.27,703,0,3.26,3.26,0,62.88054657,2.501866579,2.086051941,0.236484468,0.729144628
5/31/2018 16:00,16,0.017307692,0.043090098,0.022365705,0.024897436,0.026826923,0.028878205,0.031282479,0.034169658,0.034391026,0.034391026,0.034391026,0.036089744,0.037284936,0.040446154,0.042403846,0.046538461,0.048251122,0.052824786,0.055636218,0.05724359,0.064967949,0.073963248,1,0.873025894,0.214852572,94199.75,97.03692627,1,3.485431671,-3.072664261,285.1179199,1323606,7874029,4107932,0.010637056,0.017307692,63.01,63.01,66.59,418,0,3.58,3.58,0,62.66044998,3.04458642,1.976149082,0.23151955,0.682987592
5/31/2018 17:00,17,0.001987179,0.015544012,0.006205769,0.008525641,0.008910257,0.008910257,0.008910257,0.008910257,0.010512821,0.010512821,0.011121795,0.011442308,0.011442308,0.011944445,0.012521368,0.013685897,0.014701346,0.017101923,0.017745887,0.020726496,0.031331197,0.034239316,1,0.62650013,0.362999857,94188.125,96.62057495,1,3.690008163,-2.861543655,285.0500488,1338604,9201786,4212068,0.013180021,0.001987179,63.82,63.82,68.39,238,0,4.57,4.57,0,62.85869217,3.307581663,1.950176716,0.226788849,0.667796433
5/31/2018 18:00,18,0,0.00265993,6.41E-05,0.000106836,0.000106836,0.000128204,0.000128204,0.000128204,0.000128204,0.000128204,0.000135768,0.000149572,0.000277777,0.000277777,0.000384616,0.000982905,0.001322948,0.001874359,0.002788141,0.00647767,0.009423077,0.011891026,1,0.224397242,0.338482678,94166.5625,95.87532043,1,3.706834793,-3.225050926,285.0270996,1338604,10528159,4212068,0.01523931,0,65.54,62.54,65.54,-211,1,3,0,3,64.00032043,4.008620739,1.897849679,0.201221466,0.652705266
5/31/2018 19:00,19,0,0.00078617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45E-05,6.41E-05,9.62E-05,0.000151068,0.000416667,0.001158974,1,0.200191557,0.437359989,94143,96.13829041,1,3.494803429,-2.723146439,284.9936523,1338604,11854631,4212068,0.016529553,0,67,60.92,67,-425,1,6.08,0,6.08,65.66017914,1.064569712,3.938316822,0.647489667,0.66822321
5/31/2018 20:00,20,0,0.000596047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59E-05,1,0.381484151,0.441210568,94167.4375,96.62701416,1,2.97995472,-1.867961884,284.8916016,1338604,13175477,4212054,0.01778163,0,66.69,68.81,66.69,85,1,0,0,-2.12,66.5174942,0.77101016,6.46216011,0.701833069,0.780738518
5/31/2018 21:00,21,0,0.000585897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.484653711,0.413229764,94128.25,97.29098511,1,2.4669981,-1.449808121,284.6813965,1338356,14486405,4212054,0.019189514,0,64.97,64.97,68.41,64,0,3.44,3.44,0,65.13030243,0.741473317,1.150098324,0.773699999,0.312091569
5/31/2018 22:00,22,0,0.000587286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.439153135,0.409061372,94115.6875,97.45513916,1,2.20798111,-1.481514931,284.5019531,1338356,15792460,4212054,0.020673852,0,65.61,50.03,65.61,-96,1,15.58,0,15.58,62.55896378,3.024384737,2.617776871,0.275724262,0.694531025
5/31/2018 23:00,23,0,0.000585897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.362453818,0.383239687,94064.375,97.32339478,1,1.939157486,-0.980459213,284.2744141,1338356,17085488,4212054,0.02205617,0,64.82,51.62,64.82,-29,1,13.2,0,13.2,64.46716309,0.739989877,10.62978172,0.813733995,0.766798415
6/1/2018 0:00,0,0,0.000585897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.400967836,0.376204968,94002,96.64767456,1,1.576821327,-0.11589241,283.9968262,1338356,18355136,4212054,0.02323994,0,63.35,52.28,63.35,-114,1,11.07,0,11.07,62.80267334,0.468969971,13.1480484,0.862705648,0.816908864
6/1/2018 1:00,1,0,0.000585897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.414046168,0.400342882,93939,95.80661011,1,1.477923393,0.250823975,283.8725586,1338356,19635408,4212054,0.024378456,0,63.04,63.04,63.04,6,1,0,0,0,61.39840698,0.464181721,10.35801697,0.862134695,0.78110298
6/1/2018 2:00,2,0,0.000585897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.345839799,0.390478551,93894.1875,95.89176941,1,1.39542675,-0.047211647,283.6728516,1338356,20903264,4212054,0.025502402,0,62.69,51.97,62.69,-253,1,10.72,0,10.72,61.93579483,0.455701292,1.703005552,0.871868253,0.354511432
6/1/2018 3:00,3,0,0.000585897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.211046755,0.23904556,93858.875,96.97624207,1,1.108532906,0.27034092,283.5185547,1338356,22173232,4212054,0.026742656,0,62.4,51.51,62.4,-482,1,10.89,0,10.89,61.85746384,0.463252187,10.99910164,0.877396166,0.768399694
6/1/2018 4:00,4,0,0.000586458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.70048672,0.125374615,93835.125,97.53477478,1.000006676,0.952730179,0.82969439,283.3847656,1338356,23439904,4212054,0.027714454,0,64.97,51.63,64.97,-547,1,13.34,0,13.34,61.71902084,0.484912515,9.618328094,0.854023039,0.772230315
6/1/2018 5:00,5,0,0.000628061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27E-05,6.41E-05,8.64E-05,0.00019359,1,1.151672363,0.156143189,93842.5,95.08935547,1.000002861,0.439290047,2.416512489,283.5463867,1338356,24703744,4212054,0.02915784,0,64.97,51.21,64.97,-793,1,13.76,0,13.76,65.57735443,0.519541085,10.50223637,0.808909714,0.826848752
6/1/2018 6:00,6,0,0.003098531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62E-05,0.000520513,0.004367094,0.01,0.015044658,0.022565385,1,0.874309957,0.195388794,93916.875,90.71437073,1.000004768,-0.293780327,4.051460266,283.5332031,1338356,25967008,4212054,0.030960284,0,66.13,59.88,66.13,-601,1,6.25,0,6.25,64.08796692,0.56957835,10.23657513,0.768139064,0.844354707
6/1/2018 7:00,7,0,0.008379,3.17E-05,3.21E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,0.000106837,0.000160255,0.000230662,0.000352564,0.001403097,0.003745299,0.004839744,0.006709615,0.009133333,0.01021282,0.017543376,0.020833332,0.020929487,0.041297436,1,0.807900846,0.249069214,94014.375,88.60031128,0.999993503,-0.552786827,4.263076782,282.5544434,1338356,27218912,4212054,0.032558642,0,66.26,61.76,66.26,-135,1,4.5,0,4.5,65.9002533,0.620122969,5.829908371,0.770261049,0.737119982
6/1/2018 8:00,8,0.003974359,0.022721458,0.004294872,0.004294872,0.005352564,0.005769231,0.007364102,0.008205128,0.010480769,0.01198718,0.013597008,0.014444444,0.01597032,0.016847008,0.017805769,0.020674359,0.02314359,0.024973504,0.029213675,0.03897735,0.049741667,0.074104273,1,0.45672667,0.311927795,94102.125,88.22460938,1,-0.867478371,3.809883118,281.7800293,1349799,28454704,4298727,0.033527575,0.003974359,65.95,65.95,66.43,92,0,0.48,0.48,0,65.33733368,0.652863324,5.304383755,0.771910608,0.705949037
6/1/2018 9:00,9,0.016858974,0.111902869,0.014540171,0.024090384,0.042532052,0.045375641,0.059606411,0.060224359,0.064533654,0.068397436,0.07573718,0.080865385,0.085004594,0.090457778,0.094551282,0.109727564,0.115485898,0.12898077,0.166534402,0.212434615,0.256449573,0.29906282,1,0.030213054,0.065078735,94180.625,84.59936523,0.98324585,-1.205064774,4.076601982,281.7333984,1490365,29665072,4669053,0.033724032,0.016858974,65.08,65.08,68.65,601,0,3.57,3.57,0,64.97119141,0.93137747,2.515672922,0.223623127,0.903637126
6/1/2018 10:00,10,0.124935897,0.52348125,0.202948718,0.323689316,0.362255449,0.39900641,0.439014423,0.469730555,0.49701923,0.51944359,0.533482372,0.53724359,0.53724359,0.541939316,0.554640064,0.564320513,0.58093173,0.592457265,0.616439636,0.64242094,0.680162019,0.711350427,1,0.005126953,0.00138855,94244.8125,74.05488586,0.482696533,-1.212677002,4.148081779,282.4680176,2356149,30747680,5786815,0.033726893,0.124935897,65.08,57.74,65.08,-247,1,7.34,0,7.34,63.76041031,3.379698038,2.27481842,0.187642843,0.744504401
6/1/2018 11:00,11,0.240897436,0.548393756,0.116670513,0.264089102,0.329820834,0.422403846,0.477659615,0.504252137,0.511346154,0.528442735,0.543495833,0.570595513,0.583653846,0.59836923,0.607894872,0.627339744,0.638603846,0.656538462,0.673721795,0.694003632,0.699961218,0.710080769,1,0.025640883,0.011360168,94158.9375,71.25874329,0.663848877,-0.731543541,5.302893639,282.3837891,843080.5,1156671,1218930,0,0.240897436,64.97,48.02,64.97,-682,1,16.95,0,16.95,64.15590668,0.400933474,6.779314041,0.672378182,0.891762763
6/1/2018 12:00,12,0.559807692,0.737356945,0.346854808,0.553173077,0.686858333,0.704905128,0.71907906,0.732278205,0.739679487,0.746311966,0.751791133,0.757915385,0.760919872,0.764337607,0.768650641,0.772521368,0.781634616,0.781634616,0.784967949,0.792634188,0.803468269,0.810973077,1,0.023162842,0.000488281,94154.125,55.5506897,0.056518555,0.068778038,5.209280968,284.177002,2473314,2172509,3072384,0,0.559807692,62.86,51.55,62.86,-644,1,11.31,0,11.31,63.90856552,0.298888355,12.96914482,0.732341528,0.940683714
6/1/2018 13:00,13,0.690961538,0.602027292,0.338717521,0.39650641,0.40823718,0.457165128,0.496479167,0.537485384,0.563910256,0.59041453,0.640254755,0.653623077,0.659790705,0.667660256,0.66974359,0.671876709,0.674437948,0.676976068,0.680512821,0.688797009,0.699307906,0.720772649,1,0.003936768,0,94140.5625,47.890625,0.00289917,0.090589523,5.880177498,285.8937988,4321028,3150881,5095689,0,0.690961538,60.52,52.56,60.52,-364,1,7.96,0,7.96,60.94247818,0.563535094,9.629859924,0.743636429,0.854884791
6/1/2018 14:00,14,0.558974359,0.533667014,0.242691453,0.430000641,0.483112821,0.497005555,0.50401282,0.514366026,0.527371795,0.532660257,0.534519231,0.535320513,0.543624466,0.545188461,0.552098504,0.561762821,0.566374039,0.573141026,0.5767625,0.581051068,0.592748718,0.614419658,1,0.001694944,0,94140.1875,42.88233948,0.014709473,0.067761421,6.806558609,286.7949219,5958782,4147111,6926123,0,0.558974359,60,51.51,60,-429,1,8.49,0,8.49,58.81868744,0.571864188,7.956642628,0.755473554,0.818295172
6/1/2018 15:00,15,0.386410256,0.378757345,0.233304487,0.289127564,0.352863248,0.364615385,0.37275,0.373846154,0.375621154,0.378108975,0.380235043,0.383782372,0.385520192,0.388557693,0.390444017,0.392601282,0.396226175,0.401105128,0.405424573,0.409134616,0.415705128,0.418875641,1,0.000915527,0,94229.375,46.09715271,0,-0.178118706,6.801506996,286.104248,7256753,5114838,8383120,0,0.386410256,59.85,55.04,59.85,-429,1,4.81,0,4.81,59.4168396,0.589362383,8.468866348,0.764437258,0.815770084
6/1/2018 16:00,16,0.163846154,0.156396127,0.069451603,0.101025641,0.111030128,0.116671795,0.124982906,0.12974359,0.133508013,0.138603846,0.144153846,0.148216667,0.15474359,0.162712821,0.171836538,0.175814102,0.181115385,0.18522906,0.188482906,0.190302137,0.200673077,0.229903846,1,0,0,94322.3125,52.19721985,0,-0.156669617,5.44276619,284.7717285,8002009,6055778,9269215,0,0.163846154,59.72,50.03,59.72,-724,1,9.69,0,9.69,59.5354805,0.564858735,5.84176302,0.792731762,0.730023366
6/1/2018 17:00,17,0.022435897,0.028853713,0.01496421,0.019106197,0.019704487,0.02095812,0.021433974,0.02237094,0.023776923,0.025012821,0.025551175,0.026453205,0.027269124,0.027915384,0.028742949,0.02980812,0.030226068,0.03138547,0.031828419,0.034252137,0.035611538,0.043375641,1,0,0,94452.0625,58.02038574,0,-0.164251328,4.236731529,282.8112793,8160544,6970026,9507784,0,0.022435897,60.75,47.68,60.75,-1280,1,13.07,0,13.07,59.74597168,0.516426921,9.97817421,0.846596181,0.777831114
